-1.373500e+03	-4.595600e+01 1.00000e-06 7.52169e-05 2.65442e-05 2.53673e-05 4.32831e-06 3.19564e-05 5.00000e+00 5.00000e+00 5.00000e+00 5.00000e+00 5.00000e+00 5.00000e+00 9.36499e-07 4.05295e-07 4.00734e-07 4.39720e-07 3.11451e-07 4.10523e-07 
-1.314800e+03	-4.886100e+01 1.00666e-06 9.52135e-05 4.17938e-05 5.84713e-06 4.43765e-06 4.17291e-05 5.00000e+00 5.00000e+00 5.00000e+00 5.00000e+00 5.00000e+00 5.00000e+00 8.09236e-07 3.79313e-07 5.70759e-07 4.36211e-07 3.61886e-07 4.73292e-07 
-1.274200e+03	-4.583400e+01 1.01415e-06 7.79686e-05 1.32457e-05 1.06440e-05 1.00437e-06 1.40268e-05 5.00000e+00 5.00000e+00 5.00000e+00 5.00000e+00 5.00000e+00 5.00000e+00 8.11518e-07 4.82066e-07 4.04601e-07 3.49837e-07 3.29695e-07 4.26593e-07 
-1.267400e+03	-4.996400e+01 1.03837e-06 8.77626e-05 2.14294e-05 2.31038e-05 1.70864e-06 1.52615e-05 5.00000e+00 5.00000e+00 5.00000e+00 5.00000e+00 5.00000e+00 5.00000e+00 5.96315e-07 3.60888e-07 3.51448e-07 7.75760e-07 3.77519e-07 4.08768e-07 
-1.267200e+03	-4.807300e+01 1.06181e-06 9.17300e-05 3.06206e-05 6.82646e-06 1.58983e-06 1.14639e-05 5.00000e+00 5.00000e+00 5.00000e+00 5.00000e+00 5.00000e+00 5.00000e+00 9.26063e-07 4.44269e-07 8.09691e-07 5.37272e-07 3.62126e-07 3.83226e-07 
-1.243500e+03	-4.986800e+01 1.00000e-06 8.26299e-05 2.26777e-05 6.34036e-05 3.92724e-06 2.81011e-05 5.00000e+00 5.00000e+00 5.00000e+00 5.00000e+00 5.00000e+00 5.00000e+00 8.30119e-07 3.42360e-07 3.76777e-07 8.86700e-07 5.84164e-07 4.23021e-07 
-1.232200e+03	-4.699200e+01 1.00424e-06 7.88549e-05 7.01812e-05 5.11078e-06 8.00700e-06 4.74717e-05 5.00000e+00 5.00000e+00 5.00000e+00 5.00000e+00 5.00000e+00 5.00000e+00 8.44605e-07 3.65474e-07 8.97751e-07 8.10975e-07 3.08394e-07 3.92989e-07 
-1.229800e+03	-4.803900e+01 1.04379e-06 5.00113e-05 2.65640e-05 1.68660e-05 3.26637e-06 2.53261e-05 5.00000e+00 5.00000e+00 5.00000e+00 5.00000e+00 5.00000e+00 5.00000e+00 8.13915e-07 3.52519e-07 3.48816e-07 4.65042e-07 3.01861e-07 5.22907e-07 
-1.225200e+03	-4.888400e+01 1.04125e-06 9.72269e-05 2.16661e-05 4.17919e-05 2.31721e-06 1.19465e-05 5.00000e+00 5.00000e+00 5.00000e+00 5.00000e+00 5.00000e+00 5.00000e+00 8.45526e-07 4.48224e-07 3.85945e-07 5.66859e-07 4.39547e-07 4.60910e-07 
-1.221100e+03	-5.063900e+01 1.00000e-06 9.43039e-05 3.17548e-05 8.08776e-06 5.56545e-06 6.84235e-05 5.00000e+00 5.00000e+00 5.00000e+00 5.00000e+00 5.00000e+00 5.00000e+00 7.99266e-07 5.61148e-07 4.08935e-07 7.31944e-07 3.49978e-07 5.22648e-07 
